Dixieland National Prerace,,
Women Elite    Total Riders = 8    Groups = 1,,
,1,"BROOKE CRAIN, HARO/ROCKSTAR, VISALIA, CA"
,2,"DANI GEORGE, GT/100 %, PALMDALE, CA"
,3,"FLORENCIA SORIANO, THRODWN, CORDOBA"
,4,"SHEALEN RENO, FULL TILT BIKE CO, ARLINGTON, TX"
,5,"MIKA SHAW, JR BICYCLES.COM/CHASE/BOX, CASTLE ROCK, CO"
,6,"RACHEL MYDOCK, GLENDALE, AZ"
,7,"SAMANTHA BROWN, DANS, CROWN POINT, IN"
,8,"HEATHER COLLMAN, FACTORY YESS, ROCKTON, IL"
,,
Men Elite    Total Riders = 11    Groups = 6,,
,1,"JORIS DAUDET, CORONA, CA"
,2,"CONNOR FIELDS, HENDERSON, NV"
,3,"NIC LONG, HARO/PROMAX, LAKESIDE, CA"
,4,"CORBEN SHARRAH, TUCSON, AZ"
,5,"TANNER SEBESTA, FACTORY GOLD'S GYM, BUDA, TX"
,6,"MARIS STROMBERGS, RIVERSIDE, CA"
,7,"CODY HOBBS, TE AWAMUTU"
,8,"JEFF UPSHAW, FACTORY KUWAHARA, DAYTON, OH"
,,
6 & Under Mixed Open    Total Riders = 4    Groups = 1,,
,1,"SILAS BURNETTE, APEX, NC"
,2,"JENSON KOLL, HUTELIN, ST AUGUSTINE, FL"
,3,"SAMUEL LACHOWICZ, CLARKSVILLE, TN"
,,
7-8 Mixed Open    Total Riders = 3    Groups = 1,,
,1,"BREEANNE VAUGHAN, FACTORY BOMBSHELL/AVENT, WALNUT, CA"
,2,"KEIR STRACHAN, MAD CYCLES RACING, BURLINGTON, NC"
,3,"ANDREW MEYER, FORT BENNING, GA"
,,
11-12 Mixed Open    Total Riders = 3    Groups = 1,,
,1,"CHASE SCHWARTZ, KDM GEORGIA, MARIETTA, GA"
,2,"CHANDON GATLIN, BOMBSHELL/AVENT, CLEVELAND, TN"
,3,"JULIANA BROWN, PASADENA, MD"
,,
13-14 Mixed Open    Total Riders = 5    Groups = 1,,
,1,"LUKE DODD, CANTON, GA"
,2,"BRYSON HENN, PROFILE EXTREME, EVANSVILLE, IN"
,3,"COOPER ""SUPER COOP"" HOLLY, HRP DESIGNS NATIONAL, CHELSEA, AL"
,4,"MATTHEW CHATWOOD, POWDER SPRINGS, GA"
,,
7-8 Open    Total Riders = 4    Groups = 1,,
,1,"JOHNNY ""BRAVO"" KOOZ, HUTELIN RACING, SAINT AUGUSTINE, FL"
,2,"TYLER PEDITTO, SAN JUAN POOLS, MAPLE SHADE, NJ"
,3,"CHANCE WALTERS, CRUPI SOUTHEAST, MARIETTA, GA"
,,
9-10 Open    Total Riders = 5    Groups = 1,,
,1,"JACOB (JAMMIN) HOLMES, JET RACING, FERNLEY, NV"
,2,"MASON SINYARD, HMZ RACING, JACKSON, GA"
,3,"COLE KOPCZYK, DFR, ELGIN, IL"
,4,"ETHAN RODRIGUEZ, FTB BMX, MIRAMAR, FL"
,,
11-12 Open    Total Riders = 5    Groups = 1,,
