Spring National #1,,
4 Balance Bike    Total Riders = 4    Groups = 1,,
,,"DACIAN BUENO, ALBUQUERQUE, NM"
,,"MACKENZIE BERG, ANTHEM, AZ"
,,"JOZIYAH GARCIA, ALBUQUERQUE, NM"
,,"CAROLINE DASSLER, ALBUQUERQUE, NM"
,,
3 Balance Bike    Total Riders = 10    Groups = 2,,
,,"LUNA WHITE, LAWRENCE, KS"
,,"ZOEY CLARK, HAYS, KS"
,,"LENORA BENNETT, FIRESTONE, CO"
,,"JOSIAH VIGIL, ALBUQUERQUE, NM"
,,"XAVIER GOMEZ, ALBUQUERQUE, NM"
,,"LANDON RYAN-TRASP, ALBUQUERQUE, NM"
,,"JAMESSON REX, ALBUQUERQUE, NM"
,,"ISSAC GRIFFING, ALBUQUERQUE, NM"
,,
1-2 Balance Bike    Total Riders = 4    Groups = 1,,
,,"BRIELLA SALEMME, LAS CRUCES, NM"
,,"JUAN GARCIA, EVOLUTION, TUCSON, AZ"
,,"HANNAH HAWKINSON, ALBUQUERQUE, NM"
,,"ZAYDEN SKINNER, SURPRISE, AZ"
,,
A Pro    Total Riders = 16    Groups = 6,,
,1,"TOMAS FERNANDEZ, SE RACING, ALBUQUERQUE, NM"
,2,"WALKER FINCH, SPEEDCO, AVIAN, SEVENMX, FT COLLINS, CO"
,3,"K J ROMERO, SUPERCROSSBMX.COM, ROCK HILL, SC"
,4,"JORDAN MIRANDA, FACTORY FREE AGENT BOX, BAKERSFIELD, CA"
,5,"LAYNE GAINER, GORDY'S BICYCLES, MESA, AZ"
,6,"IZAAC KENNEDY, CHASE/LUX, BRISBANE, QLD"
,7,"TYLER BROWN, 316 RACING, CHULA VISTA, CA"
,8,"MARQUISE MONTGOMERY, RIFT/TANGENT, GILBERT, AZ"
,,
Vet Pro    Total Riders = 6    Groups = 1,,
,1,"CRISTIAN BECERINE, THRODWN, COSTA MESA, CA"
,2,"KENTH FALLEN, SUPERCROSSBMX.COM, RIO RANCHO, NM"
,3,"JUSTIN MCLINTOCK, ORANGE, CA"
,4,"HOWARD JOHNSON, AZ BICYCLE WERX/FALL RISK RACING, SAN ANTONIO, TX"
,5,"TYLER TAFOYA, LAS CRUCES, NM"
,6,"BYRON PATTERSON, FACTORY PICKLE JUICE, RED OAK, TX"
,,
Women Elite    Total Riders = 12    Groups = 6,,
,1,"ALISE WILLOUGHBY, PROMAX/GW/FULL TILT, CHULA VISTA, CA"
,2,"BROOKE CRAIN, VISALIA, CA"
,3,"ZOE FLEMING, FACTORY WIAWIS/LSG, AUCKLAND"
,4,"RACHEL MYDOCK, PHOENIX, AZ"
,5,"MIKA SHAW, JR BICYCLES.COM/CHASE/BOX, CASTLE ROCK, CO"
,6,"RACHEL JONES, CAMERON PARK, NSW"
,7,"ALAINA HENDERSON, FACTORY WIAWIS/LSG, RUBY, NY"
,8,"DANI GEORGE, THRODWN, PALMDALE, CA"
,,
Men Elite    Total Riders = 18    Groups = 9,,
,1,"JORIS DAUDET, CHASE BMX/ELEVN RACING, CORONA, CA"
,2,"CORBEN SHARRAH, DAYLIGHT CYCLES, TUCSON, AZ"
,3,"TRENT JONES, CHRISTCHURCH"
,4,"TANNER SEBESTA, KYLE, TX"
,5,"NIC LONG, HARO, LAKESIDE, CA"
,6,"KENNETH GUSTAFSON, PARKER, CO"
,7,"JUSTIN POSEY, CHANDLER, AZ"
,8,"JAMES PALMER, N VANCOUVER, BC"
,,
6 & Under Mixed Open    Total Riders = 10    Groups = 2,,
,1,"ELLIE CAREY, JR BICYCLES.COM/CHASE/BOX, GOODYEAR, AZ"
,2,"KENNEDY HOFFSCHNEIDER, FACTORY WIAWIS/LSG, FLORENCE, AZ"
,3,"KNOX PERKINS, MIDVALE, UT"
,4,"PEDRO GARCIA, EVOLUTION TEAM, TUCSON, AZ"
,5,"MICHAEL HOFFMAN, TEAM EVOLUTION, VAIL, AZ"
,6,"OLIVIA ALVIDREZ, SPEEDSTERZ, MORENO VALLEY, CA"
,7,"CACHE MALAN, SUPERCROSS/FLY/RRC, LAS VEGAS, NV"
,8,"LEVI BURMEIER, RENO RACING, ARLINGTON, TX"
,,
7-8 Mixed Open    Total Riders = 10    Groups = 2,,
,1,"KAYLIN SUN, 316 RACING, CHULA VISTA, CA"
,2,"CADEN MILLER, BOMBSHELL / AVENT, AUSTIN, TX"
