Midwest National #2,,
5 & Over Balance Bike    Total Riders = 2    Groups = 1,,
,,"ELLIE PFARR, TREVOR, WI"
,,"JOHNNY MATHER, OMAHA, NE"
,,
4 Balance Bike    Total Riders = 8    Groups = 1,,
,,"MOLLY BERGMAN, WAUKESHA, WI"
,,"JOSHUA HOLMGREN, ROCKFORD, IL"
,,"AVA STAUFFER, FARIBAULT, MN"
,,"VAN LACHOWICZ, CLARKSVILLE, TN"
,,"KODI KNOWLES, EVANSTON, IL"
,,"JAXSON OSTLER, RACERS ARMY, MARENGO, IL"
,,"MAXWELL REIN, GREENBAY BMX, DE PERE, WI"
,,
3 Balance Bike    Total Riders = 7    Groups = 1,,
,,"WESTLEY BRINKMEYER, SPRINGFIELD, IL"
,,"CONNER COPOLLO, VOODOO RIDE, HOBART, IN"
,,"ELLIOT KUTZLI, GREENVILLE, MI"
,,"NATHAN DORNSEIF, RACERCONCEPTS/RACERARMY, SAINT JOHN, IN"
,,"LOGAN ""HURRICANE"" MIGAWA, SPROCKET KINGZ BIKE SHOP, VALPARAISO, IN"
,,"ZOPHIA JOHNSON, CEDAR SPRINGS, MI"
,,
1-2 Balance Bike    Total Riders = 3    Groups = 1,,
,,"DAVID WILSON, CAPE CORAL, FL"
,,"OLIVER PURUCKER, GOWEN, MI"
,,"(GORGEOUS)GEORGE STATES, ODESSA, MO"
,,
A Pro    Total Riders = 20    Groups = 12,,
,1,"RYAN ZINZOW, FACTORY FULL TILT/RADIO, ELKHORN, WI"
,2,"JAYCE CUNNING, SPEEDCO/AVIAN, BARINGA, QLD"
,3,"DAIKI IKEDA, TANGENT, ROCKLIN, CA"
,4,"MAKIEVA HOPSON, SUPERCROSS BMX, NORTH LAS VEGAS, NV"
,5,"NICK (NICKY D) DAWSON, NO EXCUSES/SSQUARED/BOX, PITTSBURGH, PA"
,6,"JAKE PLETSCHER, FANWOOD, NJ"
,7,"TYLER PETTY, SEVEN MX, CYPRESS, TX"
,8,"ANTHONY BUCARDO, ALPHA, CANYON COUNTRY, CA"
,,
Vet Pro    Total Riders = 6    Groups = 1,,
,1,"JONATHAN SUAREZ, ALPHA, CORAL SPRINGS, FL"
