Great Salt Lake National #2,,
4 Balance Bike    Total Riders = 4    Groups = 1,,
,1,"TYLYNN THORNGREN, MAX SPEED RACING, IONA, ID"
,1,"HANNAH SEELY, SAINT GEORGE, UT"
,1,"ELI ENGEL, RAPID CITY, SD"
,,
3 Balance Bike    Total Riders = 4    Groups = 1,,
,1,"JACKSON ENGEL, RAPID CITY, SD"
,1,"BERLIN LINDAUER, SUMMERVILLE, SC"
,1,"HARPER O'MALLEY, NAMPA, ID"
,,
1-2 Balance Bike    Total Riders = 2    Groups = 1,,
,1,"TRUMAN HAUB, OREM, UT"
,1,"TEMPERANCE MELTON, SOUTH JORDAN, UT"
,,
A Pro    Total Riders = 10    Groups = 6,,
,1,"JAYCE CUNNING, SPEEDCO/AVIAN, BARINGA, QLD"
,2,"ANTHONY BUCARDO, ALPHA, CANYON COUNTRY, CA"
,3,"MAKIEVA HOPSON, SUPERCROSS BMX, NORTH LAS VEGAS, NV"
,4,"ALAN HUDSON, RAISE FOR ROWYN, PHOENIX, AZ"
,5,"RONAN WEBER, FACTORY ANSWER, CAIRNS, QLD"
,6,"MICHAEL BOYLE, DAYLIGHT CYCLERY, BOISE, ID"
,7,"CALLUM HOLLOWAY, SAINT CHARLES, MO"
,8,"CHRISTOPHER (CJ) CALUAG, LOS ANGELES, CA"
,,
Women Junior    Total Riders = 5    Groups = 1,,
,1,"ASHLEY HAYES, RIDE CO/V3 GATE/SUPERCROSS, COLORADO SPRINGS, CO"
,2,"DALENY VAUGHN, REDMAN / WICKED AUDIO, TUCSON, AZ"
,3,"PAYTON RIDENOUR, POTTSTOWN, PA"
,4,"EMILY HAYES, RIDE CO/V3 GATE/SUPERCROSS, COLORADO SPRINGS, CO"
,5,"LEXIS COLBY, GORDY'S BICYCLES, WITTMANN, AZ"
,,
Women Elite    Total Riders = 7    Groups = 1,,
,1,"ASHLEY VERHAGEN, FACTORY FULL TILT/RADIO, PHOENIX, AZ"
,2,"RACHEL MYDOCK, FACTORY REMIX, PHOENIX, AZ"
,3,"DANI GEORGE, THRODWN, PALMDALE, CA"
,4,"HANNAH MILLER, GORDY'S BICYCLES, DESERT HILLS, AZ"
,5,"BROOKE CRAIN, VISALIA, CA"
,6,"SOPHIA FORESTA, GT BMX, SOUTH JORDAN, UT"
,7,"MIKAELA LIXANDRU, PHOENIX, AZ"
,,
Men Junior    Total Riders = 7    Groups = 1,,
,1,"CAMERON WOOD, ALPHA, AVONDALE, AZ"
,2,"CAMERON BRAMER, WIAWIS/LSG, SOUTH PARK, PA"
,3,"CAMRON MASON, HARO, HUNTERSVILLE, NC"
,4,"SPENCER COLE, DK BIKES, PALM HARBOR, FL"
,5,"DARIAN TOUREENE, FUTURE CONCEPTS RACING, FORT COLLINS, CO"
,6,"KYLE JENSEN, PURE/AVIAN USA, TUCSON, AZ"
,7,"AUSTIN PEEBLES, JET RACING, CITRUS HEIGHTS, CA"
,,
