Sunshine State National Pre-Race,,
4 Balance Bike    Total Riders = 3    Groups = 1,,
,1,"JACKSON VANNORMANN, SARASOTA, FL"
,1,"MAURICIO SALINAS, SARASOTA, FL"
,1,"PAYTON WINGARD, SARASOTA, FL"
,,
3 Balance Bike    Total Riders = 4    Groups = 1,,
,1,"ADAM RZADKOWOLSKI, BRADENTON, FL"
,1,"DAVID WILSON, CAPE CORAL, FL"
,1,"JOHN (AXLE) BELLIN, GILLETTE, WY"
,1,"GAVIN BUNKER, VALRICO, FL"
,,
1-2 Balance Bike    Total Riders = 3    Groups = 1,,
,1,"CHASE YOUNG, PORT ORANGE, FL"
,1,"JOHANNA PILUDU, PUNTA GORDA, FL"
,1,"LANDON MYERS, BOCA RATON, FL"
,,
SuperX Men    Total Riders = 11    Groups = 6,,
,1,"JOSEPH LETO, ALLTOW WRECKING CREW/YESS, MYAKKA CITY, FL"
,2,"EVAN SCHAEFER, ALLTOW WRECKING CREW/YESS, SARASOTA, FL"
,3,"AMAKYE ANDERSEN, DAYLIGHT CYCLES, TUCSON, AZ"
,4,"RILEY GRAHAM, FACTORY GOLD'S GYM, MAGNOLIA, TX"
,5,"CUTTER WILLIAMS, WIAWIS/LSG, POTOMAC FALLS, VA"
,6,"JESS (JUMPIN JESS) BRANT, 6DHELMETS/SUPERCROSS/M&M, DELTONA, FL"
,7,"ZEPHIN MANN, CLAYBORN/ANSWER FACTORY, EVANS, GA"
,8,"RICO BEARMAN, SPEEDCO/AVIAN, AUCKLAND"
,,
A Pro    Total Riders = 18    Groups = 9,,
,1,"JAYCE CUNNING, SPEEDCO/AVIAN, BARINGA, QLD"
,2,"ROGERIO DOS REIS, ORLANDO, FL"
,3,"WILLIAM GRANT, MYRADAR/CORSA RACEWEAR, SEMINOLE, FL"
,4,"MARTIN COSTIGLIOLO, BUENOS AIRES"
,5,"TYLER KLUMPER, JR BICYCLES.COM/SPEEDCO/AVIAN, TARPON SPRINGS, FL"
,6,"TYLER SMITH, THRODWN, DOUGLASVILLE, GA"
