Dixland National #1,,
4 Balance Bike    Total Riders = 9    Groups = 2,,
,S,"SAKURA  GOTO , TAMPA, FL"
,S,"RORY FIELDS, ELLIJAY, GA"
,S,"SELAH MARSH, MOM + DAD, ARLINGTON, TX"
,S,"GAVIN BUNKER, VALRICO, FL"
,S,"BRYANT EASTERLING, MONTGOMERY, AL"
,S,"KARA STYRON, CAMPBELLSBURG, KY"
,S,"JASE SIMS, TRAFFORD, PA"
,S,"AMARIS MARSH, MOM + DAD, ARLINGTON, TX"
,,
3 Balance Bike    Total Riders = 11    Groups = 2,,
,0,"MACK HABECK, CUMMING, GA"
,0,"ADDALYN HARDY, POWDER SPRINGS, GA"
,0,"DANNI MORRISON, J & R BICYCLES, TARPON SPRINGS, FL"
,0,"DRAKE (BABY DRAKE) LA JAUNIE, CLAYBORN, MARRERO, LA"
,0,"JAXTON RANSDELL, CINCINNATI, OH"
,0,"FREYA JACKSON, MURFREESBORO, TN"
,0,"JESSE COLBURN, MCDONOUGH, GA"
,0,"KIRBY HALLBERG, POWDER SPRINGS, GA"
,,
1-2 Balance Bike    Total Riders = 7    Groups = 1,,
,0,"ARIANNA MOBERLY, PALMETTO, FL"
,0,"MCKINLEY TONN, ORIENT, OH"
,0,"CLAAR JONES, ALPHARETTA, GA"
,0,"LUKE BRUNETTI, OLD HICKORY, TN"
,0,"CONNOR ROMERO, MURRIETA, CA"
,0,"ASHTON SNYDER, SARASOTA, FL"
,,
Vet Pro    Total Riders = 13    Groups = 6,,
,1,"TYLER BROWN, 316 RACING DK BIKES, SAN DIEGO, CA"
,2,"BARRY NOBLES, FLY HARO MAXXIS ODI, STERRETT, AL"
,3,"ALAN HUDSON, JRBICYCLES.COM/SPEEDCO/AVIAN, PHOENIX, AZ"
,4,"LUCIANO CORREA ROQUE, ORLANDO, FL"
,5,"TIAGO DIAS, REAL SIDING, MARIETTA, GA"
,6,"BRADEN ROMER, VELOCIOUS SPORT, GREENSBORO, NC"
,7,"JOSH LEKAUNAS, DELRAY BEACH, FL"
,8,"JONATHAN SUAREZ, ALPHA FACTORY, CORAL SPRINGS, FL"
,,
Women Pro    Total Riders = 12    Groups = 6,,
,1,"ALISE WILLOUGHBY, ALBES PROMAX, CHULA VISTA, CA"
,2,"LAUREN REYNOLDS, FACTORY ANSWER, SAN DIEGO, CA"
,3,"ASHLEY VERHAGEN, FULL TILT RADIO, PHOENIX, AZ"
,4,"RACHEL MYDOCK, REMIX BMX, PHOENIX, AZ"
,5,"ASHLEY HAYES, SUPERCROSS BMX, ROCK HILL, SC"
,6,"EMILY HAYES, SUPERCROSS BMX, ROCK HILL, SC"
,7,"OLIVIA ARMSTRONG, FULL TILT RADIO, BEND, OR"
,8,"SHEALEN RENO, SUPERCROSS BMX, BOWIE, TX"
,,
Men Pro    Total Riders = 30    Groups = 12,,
,1,"CONNOR FIELDS, CHASE / BRGSTORE.COM, HENDERSON, NV"
,2,"CAMERON WOOD, MONGOOSE, PEORIA, AZ"
,3,"TANNER SEBESTA, FACTORY ANSWER, KYLE, TX"
,4,"JOSEPH LETO, LINDENWOOD UNIVERSITY, MYAKKA CITY, FL"
,5,"JOSHUA MCLEAN, FULL TILT RADIO, HIGHLAND PARK, QLD"
,6,"CORBEN SHARRAH, DAYLIGHT CYCLES, TUCSON, AZ"
,7,"ALEC BOB, DVIDE / 100% / WD-40 / S, PLANO, TX"
,8,"JORIS DAUDET, CHASE / BRGSTORE.COM, CORONA, CA"
,,
6 & Under Mixed Open    Total Riders = 24    Groups = 4,,
,1,"ISABELLA SMITH, LRC MONGOOSE, HENDERSON, NV"
,2,"CLIFTON STRONG, TOTAL PACKAGE RACING, NEW ORLEANS, LA"
,3,"BRAEDEN (SUPER BEE) MELEWSKI, MAD CYCLES, FORT MILL, SC"
,4,"EDEN (ROO ROO) IRELAND, BIKE MASTER, EVERSON, WA"
,5,"CRUZ (CRUZ CONTROL) SOTO, POWER FX SPEEDCO, FORT MYERS, FL"
,6,"ASHER (HOT SAUCE) HOTCHKISS, BOX COMPONENTS / FOXHUNT, WINTER GARDEN, FL"
,7,"BRADY HUDZIK, BETHEL PARK, PA"
,8,"PARKER (PHOTO FINISH) CARLSON, TEAM HECKLER, RALEIGH, NC"
,,
7-8 Mixed Open    Total Riders = 36    Groups = 6,,
,1,"CHASE HARP, DEADSET RACING, LOS ALAMITOS, CA"
,2,"SAMUEL CASCANTE, DORAL, FL"
,3,"VICTORIA (VICKY G) GARCIA, SSQUARED FLORIDA, MIAMI, FL"
,4,"MAYA (WARRIOR PRINESS) GADBOIS, ALBES PROMAX, SANTA CLARITA, CA"
,5,"JUAN DIEGO DELGADO VALLADARES, WEST PALM BEACH, FL"
,6,"LANDEN (HUNTIN) HEDGER, THE HILL BMX RACING TEAM, ELGIN, IL"
,7,"HUNTER (H FACTOR) ASHFORD, DFR/POWERLITE, PHOENIX, AZ"
,8,"COLTON (BOLTON COLTON) SNYDER, FACTORY PARENTS, BRADENTON, FL"
,,
9-10 Mixed Open    Total Riders = 25    Groups = 5,,
,1,"LILY (DIAMOND LIL) ASHLEY, SEAN CARVAJAL'S LDC, DALLAS, TX"
,2,"ALEXA SANDERS, TEAM C, MURRIETA, CA"
,3,"MICHAEL (CUPCAKE) SEABROOK, CHAOS SQUAD, DACULA, GA"
,4,"MASON COOK, BLACK CROWN, DOUGLASVILLE, GA"
