Stars & Stripes National #1,,
4 Balance Bike    Total Riders = 9    Groups = 2,,
,S,"MAVERICK MURPHY, CROWNSVILLE, MD"
,S,"KIERSTYN BURKHOLDER, NORWICH, NY"
,S,"PAXTON PASINSKI, GLASSPORT, PA"
,S,"DOMINIC AMICO, TNT BICYCLES NATIONAL TEAM, WEBSTER, NY"
,S,"LEVI ROADWAY, BETHEL PARK, PA"
,S,"JHOBE (G.I. JHOBE) NANCE, DOWNTOWN BMX, ASHEBORO, NC"
,S,"ELI ROADWAY, BETHEL PARK, PA"
,S,"JAMES SEMPLICE, CANONSBURG, PA"
,,
3 Balance Bike    Total Riders = 6    Groups = 1,,
,0,"MADDOX PERKINS, NEW CARLISLE, OH"
,0,"BRODIE SCANLAN, TWIN FALLS, ID"
,0,"BRYNN HOPKINS, LAMBERTVILLE, MI"
,0,"CALVIN SCHUMAKER, CARY, NC"
,0,"PARKER ELETON, MONROE, OH"
,,
1-2 Balance Bike    Total Riders = 5    Groups = 1,,
,0,"BENJAMIN VONMOSS, VAUGHN, NM"
,0,"ELLIANA ZIMMERMAN, TARENTUM, PA"
,0,"EMERSON KELLEHER, STEVENSVILLE, MD"
,0,"ROCCO CORTAZZO, CLAIRTON, PA"
,,
Vet Pro    Total Riders = 7    Groups = 1,,
,1,"BARRY (BAMA SLAMMA) NOBLES, MERCEDES BENS, FLY, HARO, STERRETT, AL"
,2,"JONATHAN SUAREZ, ALPHA FACTORY, CORAL SPRINGS, FL"
,3,"BRADEN ROMER, VELOCIOUS SPORT, GREENSBORO, NC"
,4,"JEFFERSON (JEFF) OLIVEIRA, CARBALLO&SONS / MONGOOSE, WEST LONG BRANCH, NJ"
,5,"CARLOS PIERSON, ADRIAN, MI"
,6,"BEAU FOSTER, DEEP DIRT RIDING GEAR, REIDSVILLE, NC"
,7,"JOSH SMITH, DK BICYCLES, SPRINGBORO, OH"
,,
Women Pro    Total Riders = 11    Groups = 6,,
,1,"OLIVIA ARMSTRONG, FULL TILT RADIO, BEND, OR"
,2,"EMILY (WONDER TWIN) HAYES, SUPERCROSS BMX, ROCK HILL, SC"
,3,"RACHEL MYDOCK, REMIX BMX, PHOENIX, AZ"
,4,"MARIANA PAJON, GW-SHIMANO/REDBULL/ANSWER, KATY, TX"
,5,"MOLLY SIMPSON, DAYLIGHT CYCLES, RED DEER, AB"
,6,"TEIGEN PASCUAL, FACTORY RIFT TANGENT, GARIBALDI HIGHLANDS, BC"
,7,"ASHLEY VERHAGEN, FULL TILT RADIO, PHOENIX, AZ"
,8,"DALENY VAUGHN, 316 RACING DK BIKES, TUCSON, AZ"
,,
Men Pro    Total Riders = 29    Groups = 12,,
,1,"JORIS DAUDET, CHASE / BRG STORE, CORONA, CA"
,2,"VINCENT PELLUARD, GW-SHIMANO-UNDER ARMOUR NO LOGO COLOMBIA, NICE"
,3,"ANTHONY (SHIBBY) BUCARDO, HARO BMX, CORONA, CA"
,4,"IZAAC KENNEDY, STAY STRONG, BRISBANE, QLD"
,5,"ASUMA (ASUMAX) NAKAI, MONGOOSE/XLARGE, NIGATA"
,6,"JOSHUA MCLEAN, FULL TILT RADIO, PALM HARBOR, FL"
,7,"CAMERON WOOD, MONGOOSE, PEORIA, AZ"
,8,"KAMREN LARSEN, HARO BMX, BAKERSFIELD, CA"
,,
6 & Under Mixed Open    Total Riders = 12    Groups = 2,,
,1,"FINNEGAN (IRISHMAN) LEE, IRISHMAN BMX, HIGH POINT, NC"
,2,"BRAEDEN (SUPER BEE) MELEWSKI, MAD CYCLES, FORT MILL, SC"
,3,"BRADY HUDZIK, BETHEL PARK, PA"
,4,"ALESSIO IMPROTA, ALPHA DEVELOPMENT TEAM, PATCHOGUE, NY"
,5,"BRECKEN MILLER, MOM AND DAD, PITTSBURGH, PA"
,6,"JAYCE (THE RINGER) REYNOLDS, OPEN TO OFFERS, NAPLES, FL"
,7,"HENLEY (BOO THE BEAST) GREER, WOLFPACK BMX, CANTON, MS"
,8,"BRISTOL PERKINS, NEW CARLISLE, OH"
,,
7-8 Mixed Open    Total Riders = 12    Groups = 2,,
,1,"MAYA (WARRIOR PRINESS) GADBOIS, ALBES PROMAX, SANTA CLARITA, CA"
,2,"LEVI KETELDIJK, SPORTY LIFESTYLE ARUBA, ORANJESTAD"
,3,"DILLON HETRICK, PAK BMX RACING, HUDSON, OH"
,4,"HANNAH SHEAR, BFR/BELLFLOWER BICYCLES, PALOS VERDES ESTATES, CA"
,5,"EMMETT (SUNSHINE) SPALDING, POWER FX SPEEDCO, FORT MYERS, FL"
,6,"BROOKLYN AYLING, ROLL OUT RACING, MECHANICSVILLE, MD"
,7,"ZOEY (ZDAWG) BARTONE, RENEGADE BMX, PITTSBURGH, PA"
